2016/08/18 15:16:23 [ApsSetup][ INFO] Properties loaded
2016/08/18 15:16:23 [ApsSetup][ INFO] Properties loaded
2016/08/18 15:16:23 [Gateway][ INFO] Setup gateway key-connector. Key [CONTROL] connector [TcpConnector [type=TCP, server-host='localhost', server-port=0, client-host=null, client-port=7322]]
2016/08/18 15:16:23 [Gateway][ INFO] Setup gateway key-connector. Key [PLOTTER] connector [TcpServerConnector [type=TCP_SERVER, server-host=null, server-port=7334, client-host=null, client-port=0]]
2016/08/18 15:16:23 [TcpServerConnector][ INFO] TCP server connection waiting: port [7334]
2016/08/18 15:17:19 [MissionStepProcessor][ INFO] Updating target: [Point [x=1271.44, y=962.46, z=200.0]]
2016/08/18 15:17:20 [MissionStepProcessor][ INFO] Updating target: [Point [x=1309.02, y=951.06, z=200.0]]
2016/08/18 15:17:20 [MissionStepProcessor][ INFO] Updating target: [Point [x=1346.12, y=938.19, z=200.0]]
2016/08/18 15:17:21 [MissionStepProcessor][ INFO] Updating target: [Point [x=1382.68, y=923.88, z=200.0]]
2016/08/18 15:17:22 [MissionStepProcessor][ INFO] Updating target: [Point [x=1418.66, y=908.14, z=200.0]]
2016/08/18 15:17:22 [MissionStepProcessor][ INFO] Updating target: [Point [x=1453.99, y=891.01, z=200.0]]
2016/08/18 15:17:23 [MissionStepProcessor][ INFO] Updating target: [Point [x=1488.62, y=872.5, z=200.0]]
2016/08/18 15:17:24 [MissionStepProcessor][ INFO] Updating target: [Point [x=1522.5, y=852.64, z=200.0]]
2016/08/18 15:17:24 [MissionStepProcessor][ INFO] Updating target: [Point [x=1555.57, y=831.47, z=200.0]]
2016/08/18 15:17:25 [MissionStepProcessor][ INFO] Updating target: [Point [x=1587.79, y=809.02, z=200.0]]
2016/08/18 15:17:26 [MissionStepProcessor][ INFO] Updating target: [Point [x=1619.09, y=785.32, z=200.0]]
2016/08/18 15:17:26 [MissionStepProcessor][ INFO] Updating target: [Point [x=1649.45, y=760.41, z=200.0]]
2016/08/18 15:17:27 [MissionStepProcessor][ INFO] Updating target: [Point [x=1678.8, y=734.32, z=200.0]]
2016/08/18 15:17:28 [MissionStepProcessor][ INFO] Updating target: [Point [x=1707.11, y=707.11, z=200.0]]
2016/08/18 15:17:28 [MissionStepProcessor][ INFO] Updating target: [Point [x=1734.32, y=678.8, z=200.0]]
2016/08/18 15:17:29 [MissionStepProcessor][ INFO] Updating target: [Point [x=1760.41, y=649.45, z=200.0]]
2016/08/18 15:17:30 [MissionStepProcessor][ INFO] Updating target: [Point [x=1785.32, y=619.09, z=200.0]]
2016/08/18 15:17:31 [MissionStepProcessor][ INFO] Updating target: [Point [x=1809.02, y=587.79, z=200.0]]
2016/08/18 15:17:31 [MissionStepProcessor][ INFO] Updating target: [Point [x=1831.47, y=555.57, z=200.0]]
2016/08/18 15:17:32 [MissionStepProcessor][ INFO] Updating target: [Point [x=1852.64, y=522.5, z=200.0]]
2016/08/18 15:17:33 [MissionStepProcessor][ INFO] Updating target: [Point [x=1872.5, y=488.62, z=200.0]]
2016/08/18 15:17:33 [MissionStepProcessor][ INFO] Updating target: [Point [x=1891.01, y=453.99, z=200.0]]
2016/08/18 15:17:34 [MissionStepProcessor][ INFO] Updating target: [Point [x=1908.14, y=418.66, z=200.0]]
2016/08/18 15:17:35 [MissionStepProcessor][ INFO] Updating target: [Point [x=1923.88, y=382.68, z=200.0]]
2016/08/18 15:17:35 [MissionStepProcessor][ INFO] Updating target: [Point [x=1938.19, y=346.12, z=200.0]]
2016/08/18 15:17:36 [MissionStepProcessor][ INFO] Updating target: [Point [x=1951.06, y=309.02, z=200.0]]
2016/08/18 15:17:37 [MissionStepProcessor][ INFO] Updating target: [Point [x=1962.46, y=271.44, z=200.0]]
2016/08/18 15:17:38 [MissionStepProcessor][ INFO] Updating target: [Point [x=1972.37, y=233.45, z=200.0]]
2016/08/18 15:17:38 [MissionStepProcessor][ INFO] Updating target: [Point [x=1980.79, y=195.09, z=200.0]]
2016/08/18 15:17:39 [MissionStepProcessor][ INFO] Updating target: [Point [x=1987.69, y=156.43, z=200.0]]
2016/08/18 15:17:40 [MissionStepProcessor][ INFO] Updating target: [Point [x=1993.07, y=117.54, z=200.0]]
2016/08/18 15:17:40 [MissionStepProcessor][ INFO] Updating target: [Point [x=1996.92, y=78.46, z=200.0]]
2016/08/18 15:17:41 [MissionStepProcessor][ INFO] Updating target: [Point [x=1999.23, y=39.26, z=200.0]]
2016/08/18 15:17:42 [MissionStepProcessor][ INFO] Updating target: [Point [x=2000.0, y=0.0, z=200.0]]
2016/08/18 15:17:43 [MissionStepProcessor][ INFO] Updating target: [Point [x=1999.23, y=-39.26, z=200.0]]
2016/08/18 15:17:43 [MissionStepProcessor][ INFO] Updating target: [Point [x=1996.92, y=-78.46, z=200.0]]
2016/08/18 15:17:44 [MissionStepProcessor][ INFO] Updating target: [Point [x=1993.07, y=-117.54, z=200.0]]
2016/08/18 15:17:45 [MissionStepProcessor][ INFO] Updating target: [Point [x=1987.69, y=-156.43, z=200.0]]
2016/08/18 15:17:45 [MissionStepProcessor][ INFO] Updating target: [Point [x=1980.79, y=-195.09, z=200.0]]
2016/08/18 15:17:46 [MissionStepProcessor][ INFO] Updating target: [Point [x=1972.37, y=-233.45, z=200.0]]
2016/08/18 15:17:47 [MissionStepProcessor][ INFO] Updating target: [Point [x=1962.46, y=-271.44, z=200.0]]
2016/08/18 15:17:47 [MissionStepProcessor][ INFO] Updating target: [Point [x=1951.06, y=-309.02, z=200.0]]
2016/08/18 15:17:48 [MissionStepProcessor][ INFO] Updating target: [Point [x=1938.19, y=-346.12, z=200.0]]
2016/08/18 15:17:49 [MissionStepProcessor][ INFO] Updating target: [Point [x=1923.88, y=-382.68, z=200.0]]
2016/08/18 15:17:49 [MissionStepProcessor][ INFO] Updating target: [Point [x=1908.14, y=-418.66, z=200.0]]
2016/08/18 15:17:50 [MissionStepProcessor][ INFO] Updating target: [Point [x=1891.01, y=-453.99, z=200.0]]
2016/08/18 15:17:51 [MissionStepProcessor][ INFO] Updating target: [Point [x=1872.5, y=-488.62, z=200.0]]
2016/08/18 15:17:51 [MissionStepProcessor][ INFO] Updating target: [Point [x=1852.64, y=-522.5, z=200.0]]
2016/08/18 15:17:52 [MissionStepProcessor][ INFO] Updating target: [Point [x=1831.47, y=-555.57, z=200.0]]
2016/08/18 15:17:53 [MissionStepProcessor][ INFO] Updating target: [Point [x=1809.02, y=-587.79, z=200.0]]
2016/08/18 15:17:53 [MissionStepProcessor][ INFO] Updating target: [Point [x=1785.32, y=-619.09, z=200.0]]
2016/08/18 15:17:54 [MissionStepProcessor][ INFO] Updating target: [Point [x=1760.41, y=-649.45, z=200.0]]
2016/08/18 15:17:55 [MissionStepProcessor][ INFO] Updating target: [Point [x=1734.32, y=-678.8, z=200.0]]
2016/08/18 15:17:56 [MissionStepProcessor][ INFO] Updating target: [Point [x=1707.11, y=-707.11, z=200.0]]
2016/08/18 15:17:56 [MissionStepProcessor][ INFO] Updating target: [Point [x=1678.8, y=-734.32, z=200.0]]
2016/08/18 15:17:57 [MissionStepProcessor][ INFO] Updating target: [Point [x=1649.45, y=-760.41, z=200.0]]
2016/08/18 15:17:57 [MissionStepProcessor][ INFO] Updating target: [Point [x=1619.09, y=-785.32, z=200.0]]
2016/08/18 15:17:58 [MissionStepProcessor][ INFO] Updating target: [Point [x=1587.79, y=-809.02, z=200.0]]
2016/08/18 15:17:59 [MissionStepProcessor][ INFO] Updating target: [Point [x=1555.57, y=-831.47, z=200.0]]
2016/08/18 15:17:59 [MissionStepProcessor][ INFO] Updating target: [Point [x=1522.5, y=-852.64, z=200.0]]
2016/08/18 15:18:00 [MissionStepProcessor][ INFO] Updating target: [Point [x=1488.62, y=-872.5, z=200.0]]
2016/08/18 15:18:01 [MissionStepProcessor][ INFO] Updating target: [Point [x=1453.99, y=-891.01, z=200.0]]
2016/08/18 15:18:01 [MissionStepProcessor][ INFO] Updating target: [Point [x=1418.66, y=-908.14, z=200.0]]
2016/08/18 15:18:02 [MissionStepProcessor][ INFO] Updating target: [Point [x=1382.68, y=-923.88, z=200.0]]
2016/08/18 15:18:03 [MissionStepProcessor][ INFO] Updating target: [Point [x=1346.12, y=-938.19, z=200.0]]
2016/08/18 15:18:03 [MissionStepProcessor][ INFO] Updating target: [Point [x=1309.02, y=-951.06, z=200.0]]
2016/08/18 15:18:04 [MissionStepProcessor][ INFO] Updating target: [Point [x=1271.44, y=-962.46, z=200.0]]
2016/08/18 15:18:04 [MissionStepProcessor][ INFO] Updating target: [Point [x=1233.45, y=-972.37, z=200.0]]
