2016/08/18 15:16:17 [ApsSetup][ INFO] Properties loaded
2016/08/18 15:16:17 [ApsSetup][ INFO] Properties loaded
2016/08/18 15:16:17 [Gateway][ INFO] Setup gateway key-connector. Key [CONTROL] connector [TcpServerConnector [type=TCP_SERVER, server-host=null, server-port=7311, client-host=null, client-port=0]]
2016/08/18 15:16:17 [Gateway][ INFO] Setup gateway key-connector. Key [PLOTTER] connector [TcpServerConnector [type=TCP_SERVER, server-host=null, server-port=7315, client-host=null, client-port=0]]
2016/08/18 15:16:17 [TypeUtils][ERROR] Cannot parse [] into [Integer]: For input string: ""
2016/08/18 15:16:17 [TcpServerConnector][ INFO] TCP server connection waiting: port [7315]
2016/08/18 15:16:17 [TcpServerConnector][ INFO] TCP server connection waiting: port [7311]
2016/08/18 15:16:17 [ConnectorHandler][ERROR] (006-socket-error) . Not recoverable. Closing. Handler [ConnectorHandler [connector=TelnetConnector [type=TCP, server-host='localhost', server-port=0, client-host=null, client-port=7411], protocol=org.lcr.aps.model.flightgear.connector.TextInputProtocol@44715ec1]]
2016/08/18 15:16:19 [TcpServerConnector][ INFO] TCP server connection created: server [localhost:7311] client [localhost:58926]
2016/08/18 15:17:21 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:22 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:22 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:23 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:24 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:24 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:25 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:26 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:26 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
2016/08/18 15:17:27 [ApsFlightGearModel][ERROR] Could not apply property: (000-socket-closed) error sending through Telnet connector
